iter	Passed	Remaining
401	19113	123523
402	19160	123473
403	19198	123366
404	19247	123329
405	19295	123280
406	19342	123231
407	19390	123188
408	19438	123143
409	19486	123096
410	19533	123045
411	19581	123001
412	19627	122946
413	19676	122904
414	19714	122798
415	19761	122751
416	19808	122696
417	19855	122645
418	19899	122579
419	19945	122524
420	19992	122468
421	20038	122417
422	20086	122370
423	20135	122331
424	20187	122310
425	20233	122258
426	20281	122212
427	20327	122155
428	20377	122122
429	20423	122064
430	20460	121957
431	20508	121909
432	20558	121882
433	20605	121830
434	20653	121784
435	20700	121734
436	20740	121641
437	20785	121582
438	20831	121522
439	20877	121467
440	20925	121422
441	20973	121379
442	21020	121327
443	21070	121297
444	21116	121242
445	21162	121185
446	21208	121132
447	21255	121082
448	21301	121022
449	21345	120957
450	21392	120907
451	21438	120851
452	21484	120799
453	21531	120745
454	21577	120692
455	21622	120630
456	21669	120579
457	21719	120549
458	21764	120488
459	21812	120440
460	21857	120384
461	21902	120321
462	21945	120251
463	21982	120147
464	22027	120086
465	22074	120033
466	22120	119979
467	22166	119927
468	22213	119878
469	22252	119782
470	22298	119730
471	22342	119667
472	22389	119615
473	22437	119570
474	22483	119515
475	22529	119461
476	22573	119399
477	22621	119353
478	22667	119302
479	22714	119249
480	22759	119191
481	22807	119149
482	22854	119099
483	22901	119049
484	22946	118991
485	22994	118947
486	23044	118911
487	23099	118904
488	23146	118859
489	23195	118815
490	23241	118762
491	23287	118707
492	23334	118658
493	23379	118600
494	23425	118548
495	23477	118525
496	23532	118515
497	23579	118467
498	23626	118415
499	23674	118374
500	23721	118321
501	23767	118269
502	23813	118217
503	23859	118160
504	23905	118109
505	23973	118160
506	24025	118138
507	24071	118084
508	24117	118030
509	24155	117934
510	24202	117888
511	24250	117844
512	24324	117925
513	24397	118002
514	24459	118023
515	24524	118058
516	24579	118047
517	24624	117989
518	24671	117940
519	24723	117911
520	24775	117885
521	24824	117845
522	24871	117795
523	24920	117752
524	24964	117691
525	25001	117591
526	25051	117555
527	25098	117508
528	25144	117450
529	25190	117395
530	25236	117343
531	25286	117308
532	25323	117208
533	25369	117156
534	25418	117116
535	25453	117010
536	25499	116956
537	25547	116910
538	25595	116864
539	25642	116813
540	25686	116753
541	25735	116713
542	25779	116650
543	25821	116575
544	25868	116525
545	25926	116526
546	25974	116481
547	26023	116439
548	26067	116379
549	26113	116322
550	26160	116276
551	26209	116232
552	26255	116179
553	26301	116123
554	26347	116072
555	26394	116020
556	26440	115969
557	26488	115923
558	26541	115899
559	26588	115849
560	26626	115759
561	26674	115716
562	26722	115670
563	26770	115626
564	26816	115572
565	26863	115522
566	26910	115473
